Author,Book_name,Content,Issuiers,Market_Price,Num_Page,Price,Publish_date,Publisher,Status,Weight
Đông Đồng,Để Số Đo Không Là Nỗi Lo - Tại Sao Ăn Ít Mà Vẫn Mập?,Bạn đang cố gắng ăn uống lành mạnh hơn nhưng các con số trên cân không hề giảm?,SkyBooks,96000,256,81500,03/10/2022,NXB Thế Giới,Còn hàng,500
Lê Tuyết Trinh,"Trên Mặt Đất, Qua Bầu Trời: Xây Dựng Cho Trẻ Tình Yêu Thiên Nhiên Và Ý Thức Bảo Vệ Môi Trường","Kiến thức về tự nhiên lồng trong các câu chuyện kể hấp dẫn giúp bạn đọc nhỏ tuổi mở mang và học hỏi một cách chủ động, thích thú.",NXB Kim Đồng,43000,76,36500,27/10/2022,NXB Kim Đồng,Còn hàng,500
Walther Ziegler,Những Nhà Tư Tưởng Lớn - RAWLS Trong 60 Phút,"John Rawls là triết gia lớn về Công bằng. Với thử nghiệm tưởng tượng lừng danh về “cuộc biểu quyết dưới bức màn vô minh”, ông phát triển một phương cách đột phá để tạo lập một xã hội tuyệt đối công bằng.",Văn Lang,88000,150,74500,26/09/2022,NXB Hồng Đức,Còn hàng,400
Walther Ziegler,Những Nhà Tư Tưởng Lớn - SCHOPENHAUER Trong 60 Phút,"Trong tất cả các triết gia, Arthur Schopenhauer là tư tưởng gia bi quan nhất và cũng lỗi lạc nhất. Ông nhận định cuộc sống trên hành tinh này là sự ăn thịt lẫn nhau, ăn và bị ăn. Không phải lý tính, mà chỉ có Ý chí đói khát đang thúc đẩy chúng ta:",Văn Lang,99000,191,84000,26/09/2022,NXB Hồng Đức,Còn hàng,400
Walther Ziegler,Những Nhà Tư Tưởng Lớn - PLATO Trong 60 Phút,"“Hãy nghĩ về cái Chân, cảm nhận cái Đẹp và mong muốn cái Thiện: Chính nơi những điều ấy, tinh thần sẽ nhận ra mục đích của một cuộc đời thuần lý.”",Văn Lang,85000,142,72000,26/09/2022,NXB Hồng Đức,Còn hàng,400
Walther Ziegler,Những Nhà Tư Tưởng Lớn - ARENDT Trong 60 Phút,"Cho đến ngày hôm nay, Arendt đã từng làm dấy lên một chấn động mang tính toàn cầu với sự khám phá của bà về “sự thống trị của vô danh” và về “sự tầm thường của cái ác”. Trong xã hội quần chúng hiện đại, theo Arendt, chúng ta quá ưa thích tuân phục các quyền bính và không còn biết nhận lãnh trách nhiệm nào nữa của mình. Và đó cũng là trường hợp của viên chức Đức quốc xã Eichmann, kẻ chỉ bởi mệnh lệnh công vụ đã tổ chức việc chuyên chở bằng tàu lửa cho hàng triệu người đến các trại tập trung. Arendt đã có mặt trong vụ án tội phạm chiến tranh của ông và nhìn nhận rằng: Eichmann không hề là một con quái vật quỷ dữ, như nhiều người nghĩ tưởng.",Văn Lang,88000,150,74500,26/09/2022,NXB Hồng Đức,Còn hàng,400
Michel Bussi,Mã 612: Ai Đã Giết Hoàng Tử Bé,“Con mắt thường luôn mù lòa trước điều cốt tử.”,Nhã Nam,125000,283,106000,14/10/2022,NXB Hội Nhà Văn,Còn hàng,550
Tri Thức Việt,Bí Quyết Kinh Doanh Của Người Do Thái (Tái Bản 2022),"Không phải vô cớ mà người Do Thái được ca tụng như vậy. Hơn 2.000 năm sống phiêu bạt khắp nơi, người Do Thái đã tích lũy cho mình rất nhiều tri thức về thương trường thế giới.",Văn Lang,98000,223,83000,05/10/2022,NXB Thanh Hóa,Còn hàng,500
Joshua Pearl,The Little Book - Quản Trị Rủi Ro Trong Đầu Tư Chứng Khoán,"Đầu tư cổ phiếu đang phổ biến hơn bao giờ hết, dù trực tiếp hay gián tiếp thông qua các tài khoản môi giới, quỹ đầu tư (ETF), quỹ tương hỗ hoặc là tài khoản hưu trí. Mặc dù vậy, phần lớn các nhà đầu tư cá nhân không được đào tạo về cách chọn cổ phiếu, chưa nói đến kiến thức cơ bản về tài chính.",1980 Books,189000,380,160500,11/10/2022,NXB Dân Trí,Còn hàng,500
Hyunjeong Yoo,101+ Mẹo Sinh Tồn Với Tiếng Anh,"Tiếng Anh len lỏi trong mọi ngóc ngách của cuộc sống thường nhật, trong khi bạn vẫn nghĩ tiếng Anh khó?",AZ Việt Nam,269000,336,228500,20/09/2022,NXB Thế Giới,Còn hàng,650
Lưu Khánh Thơ,Trong Đáy Mắt Trời Xanh Là Vĩnh Viễn,"""",Nhã Nam,155000,302,131500,07/10/2022,NXB Hội Nhà Văn,Còn hàng,500
Misaki Ichijo,Đêm Nay Dẫu Tình Yêu Này Biến Mất Khỏi Thế Gian,"“Không được đâu. Tớ… bị mắc một căn bệnh, gọi là chứng quên thuận chiều. Sau mỗi đêm đi ngủ, tớ sẽ lại quên hết tất cả những gì đã xảy ra ngày hôm đó.”",AZ Việt Nam,129000,352,109500,06/10/2022,NXB Dân Trí,Còn hàng,500
John Koenig,Từ Điển Của Những Nỗi Buồn Không Tên,- Cái này tùy thuộc vào bạn thôi. Chỉ khi bạn muốn một từ có thật thì nó mới có thể trở thành thật.”,AZ Việt Nam,129000,328,109500,22/09/2022,NXB Thế Giới,Còn hàng,550
Lý Cư Minh,Giải Mã Những Bí Ẩn Trên Bàn Tay Con Người - Đời Người Trên Bàn Tay (Tái Bản 2022),"Tôi nghiên cứu tướng tay đã nhiều năm, nhưng không nghĩ sẽ viết thành sách. Sau khi kết thúc khoá học, những người theo họclớp xem tướng mặt còn muốn tìm hiểu thêm về tướng tay, họ đều cho rằng, tướng tay và tướng mặt cần được bù đắp qua lại, bổ sung cho nhau.",Văn Lang,88000,230,74500,03/10/2022,NXB Hồng Đức,Còn hàng,500
Cressida Cowell,Pháp Sư Xứ Anh,“Người đọc sẽ chết mê thế giới tưởng tượng sáng tạo và những câu thoại dí dỏm. Một cuộc phiêu lưu vui nhộn ầm ĩ đầy phép nhiệm mầu.”,Nhã Nam,150000,396,127500,14/10/2022,NXB Hội Nhà Văn,Còn hàng,650
Chan Ho Kei,Người Bóng Bay,"Một ngày nọ, phát hiện mình sở hữu dị năng, gã nhân viên công ty tổ chức tiệc quyết định chuyển sang hành nghề sát thủ dưới biệt danh",Nhã Nam,189000,484,160500,01/10/2022,NXB Hà Nội,Còn hàng,600
Walther Ziegler,Những Nhà Tư Tưởng Lớn - CAMUS Trong 60 Phút,"Triết gia hiện sinh Camus so sánh cuộc sống con người với câu chuyện thần thoại về Sisyphus. Nhân vật này nỗ lực không mệt mỏi để đẩy một quả cầu bằng đá lên dốc núi, mặc dù nó cứ bị liên tục lăn trở lại xuống dưới. Nhưng chính hành động tưởng như vô nghĩa này lại chứa đựng cơ may của một cuộc sống viên mãn. Cả cuộc đời mình, Camus luôn tìm cách tiết lộ cho chúng ta, cách làm thế nào để có thể chung sống với sự phi lý.",Văn Lang,68000,112,57500,07/10/2022,NXB Hồng Đức,Còn hàng,400
Walther Ziegler,Những Nhà Tư Tưởng Lớn - KONFUZIUS Trong 60 Phút,"Khổng Tử là triết gia có ảnh hưởng lớn nhất trong lịch sử tinh thần ở Đông Á. Tên tuổi và tư tưởng của ông được biết đến trên cả thế giới. Cách đây 2,500 năm, ông. đã nêu lên câu hỏi mang tính quyết định và nó vẫn khiến chúng ta bận tâm cho đến ngày hôm nay: Làm sao tôi có thể tìm ra ""Đạo"", con đường đúng đắn, trong đời tôi? Làm sao tôi có thể sống hài hòa với bạn bè, gia đình, xã hội và với chính tôi? Và khi nào thì tôi phải phản kháng?",Văn Lang,105000,200,89000,07/10/2022,NXB Hồng Đức,Còn hàng,400
Minh Đào,"Rồi Cũng Sẽ Qua - Về Hi Vọng, Sự Vượt Qua Và Những Gì Còn Ở Lại","Bạn cũng sẽ thấy, trong suốt tác phẩm, tôi nói rất nhiều về sự không thể. Không thể quên, không thể cố gắng, không thể vượt qua, không thể kết nối... Chỉ những gì bất khả mới tạo cảm giác gây nghiện. Nó ta khiến ta muốn chinh phục, khiến ta ám ảnh và khiến ta không ngừng nghĩ về. Nó tạo ra sự bế tắc và những con đường cùng.",NXB Trẻ,95000,200,80500,07/10/2022,NXB Trẻ,Còn hàng,500
Walther Ziegler,Những Nhà Tư Tưởng Lớn - HOBBES Trong 60 Phút,“,Văn Lang,68000,112,57500,07/10/2022,NXB Hồng Đức,Còn hàng,400
Walther Ziegler,Những Nhà Tư Tưởng Lớn - ADORNO Trong 60 Phút,"Adorno cho đến ngày hôm nay là một trong những nhà tư tưởng thông thái và thiên bẩm nhất trong lịch sử triết học. “Lý thuyết Phê phán” về xã hội của ông vừa cấp tiến vừa kích động. Theo Adorno, tất cả chúng ta đang sống trong một thế giới hoàn toàn bị chủ nghĩa tư bản thao túng. Thời đại Khai minh với hy vọng lớn về tiến bộ và giải phóng đã bị lộn ngược.",Văn Lang,80000,135,68000,07/10/2022,NXB Hồng Đức,Còn hàng,400
Matt Burgess,Netflix Từ Cú Lật Đổ Hollywood Đến Đế Chế Phim Thống Trị Toàn Cầu,Cuốn sách có gì đặc biệt,Alpha Books,399000,168,339000,20/10/2022,NXB Công Thương,Còn hàng,500
